# rule	width	height	path	sum	nonzero	hash
e	32	32	31.858327,21.924162 13.757711,13.286950 22.725631,0.362933 3.634693,1.490903	32369	185	502821182a87052a
n	48	33	24.791057,28.104679 9.141721,12.084316 14.539025,15.348924	4543	53	5d0d5cfc17140aee
n	17	41	12.260778,7.834887 2.266924,14.239214 9.984139,36.812115 4.155399,11.368715 13.804034,7.296220 16.172035,29.352362;9.000226,-0.726361 1.324894,25.326405 18.480074,1.575413 10.490981,0.660429 12.532516,11.568521 1.638591,22.349493;9.427267,10.532843 6.886196,21.876357 3.324351,10.693645 14.560703,14.281247 16.491406,11.370052 16.781596,2.385458	35225	253	d5f0907f4bbe3148
e	64	16	20.655574,1.867456 36.906762,1.793938 51.823965,3.407642 57.125534,7.248873 55.596310,11.294311 42.621673,13.741840 26.759357,14.628354 13.439020,12.299779 5.164795,8.802237 9.907011,4.915570	128203	572	7acf1e6a6d51fab8
n	32	32	3.864241,4.984359 19.789784,4.984359 19.789784,17.853942 3.864241,17.853942;7.845627,8.201755 15.808399,8.201755 15.808399,14.636547 7.845627,14.636547	52297	238	f29f14fe5e0d5868
n	48	33	35.051111,6.036522 35.223454,6.036522 35.523454,26.963478 35.051111,26.963478	1720	21	273edffa7e1d00dd
e	17	41	12.335723,42.051821 17.366457,2.087677 8.355982,39.714406 18.053854,13.657928 12.507615,29.990824	14246	114	8893020d875e393b
n	64	16	98.971278,13.797685 -11.096128,-33.367075 209.561102,-11.926595 96.753823,-38.421703 86.982286,-6.594402	0	0	c8a6259ce7a13383
n	32	32	4.740860,6.598265 20.611534,2.563105 8.127891,12.771622 13.656849,20.503421 17.805289,20.449918 24.250506,27.899221 -1.981503,24.498470 12.399415,15.923252 19.743212,12.746258 -0.931834,-1.931460	56016	302	e94645400ed6d6b1
e	48	33	45.622708,19.823865 27.088407,28.169991 43.656611,14.962372 29.208611,-1.028189 41.983305,7.238648 31.372783,7.156264 7.030104,19.927079	82249	402	2022801d4873d09e
n	17	41	-1.363226,22.264455 18.489171,31.784338 4.174133,31.892257 1.170245,14.009527 15.470548,8.432352 11.184527,20.427744;-0.113442,-0.866272 6.236540,24.522239 17.521844,23.743906 10.360103,16.529321 9.604188,20.122333 18.117032,33.874384	48603	281	c094250118b09124
n	64	16	59.739674,15.423167 36.224135,11.382607 26.080741,18.050206 24.055190,10.934662 -3.120869,13.109235 17.868848,8.276856 -5.875748,4.320906 22.323552,5.410572 19.890583,-1.696991 34.064819,4.494180 54.775553,-0.412856 44.251235,6.217742 72.510066,7.206331 45.212221,9.283381	108193	548	e84d6739c797d0c2
e	32	32	3.040524,11.837212 14.505187,11.837212 14.505187,14.411353 3.040524,14.411353	7537	48	5e0baf62d59e166a
n	48	33	4.787024,5.010832 4.818500,5.010832 5.118500,27.989168 4.787024,27.989168	1067	32	8f489bc6cf35eaf0
n	17	41	1.352669,4.201183 4.774824,22.258353 9.987884,21.075179 12.367678,27.386809	11633	79	b0c8a544e2656e70
e	64	16	101.113020,32.233258 -186.253993,-44.563594 -26.637954,44.562862 -37.746872,-19.664020 56.640957,-2.968065	204280	829	59e0c7886e86e247
n	32	32	9.929257,27.805411 23.210363,0.085345 33.969742,12.815453 2.020287,26.107147 1.316234,-0.074194 23.729049,7.027442 28.550785,33.059747 5.652194,-1.224784 32.027011,1.346926 21.250001,9.227880 14.144717,15.540613 0.969268,22.185848	149939	684	1111873a92160612
n	48	33	44.814308,33.145679 14.605226,16.477263 18.822480,-1.267079 31.542021,13.861472 15.659031,30.835558 10.289029,26.305304 -0.140758,24.920358 30.543505,16.984238 1.767315,24.796475 43.751932,34.177249	85618	448	e7c6cb18bbe8ed69
e	17	41	3.204735,39.102958 -0.424219,35.579671 11.215966,31.828326;11.272072,2.362040 -1.688625,24.272563 -0.556120,42.922321	33983	187	1c371d932e9a61d4
n	64	16	10.052048,17.683754 15.357086,11.246432 -10.909338,10.967562 11.049387,7.353495 -6.735016,2.513012 19.014273,3.839271 20.129753,-2.727334 34.586022,2.762347 53.947952,-1.683754 48.642914,4.753568 74.909338,5.032438 52.950613,8.646505 70.735016,13.486988 44.985727,12.160729 43.870247,18.727334 29.413978,13.237653	167850	754	ad1daee39e23e175
n	32	32	10.582291,15.296330 16.550455,15.296330 16.550455,19.246581 10.582291,19.246581	6023	35	7b8cefc55ad2e778
e	48	33	39.995607,10.215099 40.318956,10.215099 40.618956,22.784901 39.995607,22.784901	1524	26	5d7dd60c97dfe40f
n	17	41	13.089139,16.303155 16.811869,41.117936 -1.607022,33.625254 6.894616,-1.316843 7.086663,38.714931	68787	339	35057d29d01d6d94
n	64	16	-172.771104,25.811420 33.562082,46.074111 -136.285144,-18.748331 -50.967451,-47.139705 -26.120144,-36.777666 152.910312,40.606038	259734	1022	075979b337834283
e	32	32	5.727534,27.595344 10.640835,19.570993 18.820645,12.888916 2.314618,30.818093	3714	50	59164c076bca4e09
n	48	33	9.903715,9.994437 16.239787,10.923684 13.797711,33.843608 32.919381,5.693896 48.083249,9.181488 40.012936,2.961114	65847	325	847391111dcf6524
