# width	height	path	line width	join	cap	miter	closed	dashes	phase	sum	nonzero	hash
40	40	11.058875,5.141108 12.265239,25.143167 13.228173,15.981875 7.636309,17.478395 22.603736,25.202469 15.651105,31.013853 31.139550,10.455848	1.549711	r	b	7.189507	0	2.360777	6.772131	16208	147	c72a2649896f7f87
56	33	4.936974,29.344776 13.838026,14.515725 32.309690,18.035150 13.629382,27.851398 51.085515,14.299626 53.123960,29.946267 39.001870,26.672184 53.373174,4.171035	1.624282	b	s	7.185579	0	1.611107	5.561940	60795	399	746232321d0c502a
56	33	28.392725,28.592044 3.519061,16.268618 21.323262,3.665770 6.714063,30.346368	6.532121	r	r	9.067159	1	3.305287,1.066450,1.103442	6.744948	138401	616	5ebdd7978b474736
40	40	18.721886,21.275047 7.377548,8.573562 18.583201,17.424198 8.716426,12.389104 37.558361,10.181792 2.932467,13.907962 22.116571,2.275089	1.899083	r	s	4.164123	0	2.450869	11.861041	40727	240	e144a23f3ed27964
56	33	23.608131,8.035198 26.994651,18.198129 46.253148,24.418964 40.999567,9.662113 17.705863,11.260450 27.947328,10.234543	1.533726	r	b	6.650932	1	4.047987,3.633260	10.975530	17414	137	6f8ef551f16c117f
56	33	25.213941,11.623363 42.466435,19.537441 37.705548,23.690406 27.218223,28.420245 19.372667,24.116927 38.257436,16.722038	4.858207	m	b	9.318004	0	2.903881,2.743528	1.467721	41872	280	e11d5a46199ef493
24	48	6.981000,41.867084 13.133261,8.527649 5.626673,40.385264 3.938334,32.859506	3.555471	r	r	10.251619	0	2.916680	-2.319770	42144	207	eef93f41d151555b
56	33	30.718716,14.097663 31.101055,4.475228 31.947282,5.326131 50.174331,10.236390 39.714572,12.165720 4.908780,30.077670 24.853003,27.918562 42.470961,4.537093	5.533778	r	r	5.413341	0	3.364597,1.730186	9.422254	144272	646	00459a4ad200cf21
24	48	3.391284,45.985076 3.542559,5.260410 8.152387,32.298731 20.436080,22.559777 4.048877,35.474087 9.304101,18.339125	4.419439	b	b	11.411761	0	2.068170,1.412757,2.453791	2.659351	60905	350	0a5cb7bab5b3c4da
40	40	23.298869,2.656426 15.137163,25.671953 28.826491,8.822496 35.797151,36.666568 15.491723,10.670815 21.578690,22.170389	6.476613	m	b	8.399254	1	2.555890,3.956373	-4.894284	75690	458	a0838794714dca53
56	33	20.846084,12.541903 43.329100,26.545792 41.450399,12.642461 11.362894,10.433167 8.257396,14.619302 25.981510,5.935823 51.764783,10.511245	6.656850	b	r	11.190809	0	4.770297,3.652581,1.944591	10.008743	158597	713	a78dd41bd0b59868
24	48	2.306187,43.038347 7.259900,40.729505 20.652628,14.977343 11.532794,22.454611 14.113236,28.050485 20.210051,33.222482 14.528989,5.135384	3.533022	m	s	8.300561	0	3.225788,2.939584	3.571411	71261	359	1992d1495f179548
24	48	15.435416,15.181045 6.379679,23.069184 3.319622,41.839933 4.648567,11.201002 13.116439,34.968855	3.683330	b	b	2.703924	1	2.232115	10.579510	42944	290	a7935b624d0d9c63
56	33	33.390444,23.715081 8.493746,26.349760 12.629250,26.709055 18.788001,10.272029 44.484038,28.145348 36.854760,8.624267 45.835794,2.496356 40.459332,21.953159	5.514547	m	s	8.239379	0	3.022234	0.184582	160370	722	e73692f398a74609
24	48	5.596498,31.161152 3.867036,38.555609 21.003670,38.709875 6.946096,15.678412 11.205558,25.289884	6.214844	m	b	7.931902	0	4.262729,3.698838	7.286227	51884	299	c32930bb9bc12959
56	33	45.282004,8.622943 49.243518,5.252050 13.494563,27.794177 6.853459,28.662519 10.104098,18.502772	2.119178	r	s	9.654107	1	3.495615,3.880023,1.710836	0.717771	42495	291	1816da207444ca96
40	40	12.604965,3.083103 2.031044,36.483395 8.184118,31.856841 35.781685,31.392935 19.194434,9.489711 2.503533,8.551173	6.336690	m	r	9.065855	0	1.508066,1.699036,2.301861	0.551117	175813	785	43eaa56519624718
56	33	37.166498,10.450460 37.373922,30.746100 21.447265,22.288786 53.280847,23.000386 19.722187,20.543946 12.077307,2.727732 32.698945,17.092120 13.595218,23.801069	6.823920	b	r	6.856095	0	2.561881,3.726474,0.905203	4.156539	183724	805	63a6f0e99455c329
24	48	11.924584,45.399278 16.541399,37.008815 18.696588,21.296175 19.346854,19.125067 11.341284,7.328163 5.145346,37.732553 11.557336,37.510711 15.680904,32.959642	5.317878	r	s	6.664252	0	2.847162,1.841720,4.540134	-3.001389	111469	518	a82c52766348816c
56	33	5.558960,11.096912 12.379846,7.184417 11.329264,26.875270 31.183260,12.886245 21.330122,4.496910 13.454462,26.287705 42.044263,12.624378 33.410688,2.387518	4.123081	m	s	6.515172	1	1.518049	13.661836	150235	679	12ccae7af5905722
24	48	5.301742,10.339170 16.798812,30.816650 7.264671,42.944568 8.592201,4.372776 21.606326,8.738247	5.080131	b	s	9.366756	1	3.593958,3.183849	12.827794	112489	519	189fe1c1221f2588
40	40	8.725464,6.035118 37.404085,33.708024 4.263959,29.524809 27.589428,10.087142 22.497795,26.386001 26.254839,35.360653 34.793874,29.055807 17.229072,36.133922	2.142153	m	s	3.594404	1	2.771980	10.795373	82587	504	02a3113d48b5634c
56	33	18.179501,6.285546 25.938581,21.659831 17.336711,22.258060 22.289647,2.174429 46.418108,26.027835	3.813412	r	b	7.469409	1	4.271141,4.292169	13.057853	50592	308	97f584b614ed7671
40	40	15.249854,30.702652 3.517817,25.405918 24.164672,29.315706 4.135790,15.619522 26.784721,17.478039 32.983252,19.763494	3.691831	b	r	7.621241	1	3.591601,2.114184	6.442604	79582	390	7739f808f205399d
24	48	16.678526,4.146658 12.941428,27.404598 2.150502,5.522358 8.166753,16.417492 2.040284,37.205882 2.373920,13.479149 11.108604,21.914069	3.951994	m	s	4.361147	1	3.727297,2.171761	-2.260221	99254	447	2a62694c2b04a90f
24	48	9.275943,40.412297 18.322343,19.118808 10.542835,15.686307 14.145265,11.487183 6.115887,11.782966 16.519916,4.590145 9.782524,7.173641	2.354215	r	b	10.692403	1	2.133489,2.575147	3.200147	25893	198	529a4fd6464355c8
56	33	40.571173,8.910799 19.947423,15.929438 46.734307,4.612094 39.669656,3.922016 16.904506,12.075120 45.669146,17.981862 37.417163,10.359401 48.983665,18.652779	5.814640	b	b	5.463995	0	1.706899,1.079081	-0.809835	90031	481	98cd00f4d1c9d0d8
24	48	13.721725,43.412653 2.869977,5.881697 2.847882,33.831989 8.373658,17.499900	4.235957	b	s	7.192677	1	2.608795	5.775333	83507	393	7fc78aea599f03ac
40	40	24.445544,34.553093 11.983948,27.112783 15.484913,11.255199 16.977086,3.504263 8.495882,19.468559 4.267560,7.993001	7.410112	m	s	2.916257	0	2.454410,2.913834	0.730947	115994	524	e864c2c5332bfec1
56	33	3.384917,27.995995 47.185524,27.994813 9.934713,30.787311 44.452486,27.635378 34.871460,16.615607 46.528515,12.054621	6.076260	b	r	6.345156	1	2.316375,3.559227,4.526578	7.560297	156436	708	4077896f63db737f
24	48	9.247174,5.547496 8.929301,19.389222 10.461788,27.166003 4.765260,10.039512 19.448837,21.681306 15.172768,38.639007	2.902042	r	s	3.975901	1	3.237137,4.146364,3.749461	8.147630	59465	318	f4638f136bac62ee
40	40	35.865747,23.927290 5.845354,13.313693 31.138499,26.545603 32.826964,4.427191 6.853536,8.654874 25.827624,5.238045 2.267407,35.860773 6.013849,35.394293	1.681528	m	r	10.922277	0	1.753941,4.520217,4.708392	12.738254	42467	303	bb6270bc89afc868
56	33	43.683915,12.466678 49.787208,21.082094 48.920061,7.236888 51.138772,5.723863 2.085866,2.634793 42.150740,8.795650	6.201744	m	s	4.624438	1	1.385925	-4.715917	155660	654	e97ab62fa2003f6d
24	48	14.130903,18.898364 20.930196,36.479372 10.157603,13.961900 14.988168,15.972360 7.628832,10.469645 8.514230,8.834221 18.668227,8.832952 5.503769,9.907592	5.038144	m	s	8.213983	1	4.050591,1.563827	12.646865	75152	337	0031504e8d8a41ab
40	40	5.604800,5.785175 28.650407,34.762092 12.384122,22.818034 6.978175,6.719882	2.619964	m	b	4.198370	1	4.507689,1.743607	11.547976	32389	220	0ff257d80c721484
56	33	16.151137,19.271871 45.373549,3.553488 36.743830,5.668392 11.290913,13.565448 15.308501,7.643706 32.962887,10.930940	3.265709	m	s	4.089229	1	4.333271,3.727715,2.165452	4.835253	64239	333	1ac10f76d615e292
24	48	13.701619,40.809063 20.990732,26.816739 9.749474,21.836303 7.172107,35.212216 18.641036,39.761830 5.606817,23.329220 10.222657,44.376379 4.407653,8.539089	6.819563	m	s	8.365176	0	4.328293,2.854941	2.125270	138357	608	ea5b82034a7743a4
40	40	29.472034,31.419058 6.627414,36.440813 7.143817,22.112720 6.529378,35.862683 35.254519,36.711371 26.587724,16.030165 28.519757,13.737417 36.594417,14.569435	4.351287	r	s	8.702339	1	3.101830,4.165488	3.333453	110824	525	14dff35e0921be9b
56	33	48.057810,18.218130 28.250943,6.465066 40.304447,10.898809 36.954053,26.312631 7.218652,13.060566 21.827361,13.691402 18.048855,20.007558	4.149460	r	b	6.355238	0	2.800997	4.422395	52009	339	ad3a924cfe93028c
24	48	18.811166,35.888199 12.829373,44.210470 8.647540,12.135633 14.290092,22.060970 19.378605,20.774213 17.644590,45.321890	5.410866	b	s	6.312552	0	1.077242	3.213626	108406	464	eed4b095c1d97aaf
