# width	height	path	line width	join	cap	miter	closed	sum	nonzero	hash
40	40	11.058875,5.141108 12.265239,25.143167 13.228173,15.981875 7.636309,17.478395 22.603736,25.202469 15.651105,31.013853 31.139550,10.455848	1.549711	r	b	7.189507	0	29687	191	9bc1651638cd4752
56	33	22.290105,20.519590 15.174082,3.637928 51.032013,8.601976 24.441990,18.903481 30.752683,8.485617 48.354231,29.374614 24.054502,30.511439	7.281986	m	s	11.379456	0	240682	1051	42444bde46d9de69
24	48	9.751498,35.587501 13.371158,20.602639 17.001673,10.922178 13.561940,8.057086 19.577028,9.529714 11.301189,20.836955 13.908504,5.939329	2.638077	r	r	6.762790	1	39171	191	14f321fb6d5b2bac
40	40	33.164207,37.032562 9.570495,3.865132	3.217883	r	b	2.978909	0	33511	192	0958a3d79efc2284
56	33	28.392725,28.592044 3.519061,16.268618 21.323262,3.665770 6.714063,30.346368	6.532121	r	r	9.067159	1	139259	623	ba59cee5f7a7a6a6
24	48	14.526433,4.930946 3.517212,30.038886 9.591880,14.901918 13.326045,21.908855	4.442173	r	r	9.945525	0	44114	222	6cd258674dc42743
40	40	30.470432,26.392998 9.462868,35.948376 14.730368,18.721886	4.712508	r	b	6.106445	0	47866	242	ce560ea5a91c8739
56	33	17.006484,30.644236 13.818144,2.751154 19.200389,18.205015	1.545848	m	r	5.230698	0	16859	109	bd93eda0d42ad926
24	48	5.189096,20.159561 19.861041,35.316870 10.310820,11.156852 11.613327,26.576472 19.020442,36.014980	5.999950	m	b	4.693259	1	68855	311	3a38f16e9c79e98a
40	40	2.202355,37.299824 21.922117,20.543355	2.278955	r	s	8.583151	0	16438	109	d8d7f1442c326913
56	33	44.516283,6.684086 39.092735,10.235305 27.708115,15.565825 11.444151,3.475628 10.238148,26.515914 10.682925,4.937339 23.376615,17.833241 25.924530,17.121074	5.991037	r	r	4.845304	0	118431	541	d77fa65f552bd78e
24	48	6.500879,33.467040 10.555543,25.456306 18.134390,4.221467	7.331581	m	b	9.282007	1	64754	296	245fba3d816e32ed
40	40	28.926021,19.458770 34.797546,14.027231 29.455496,27.101302 20.275634,22.149241 22.409480,7.167036 30.144814,34.872467	3.387153	r	r	5.233860	1	61292	301	5e6bdb4dd6202b6b
56	33	49.115645,18.143228 9.714494,7.258676 47.364403,4.810585 38.470325,11.934775 27.057211,8.772446 47.508420,4.257934 25.654759,17.345929 11.568599,18.998184	3.771032	r	b	3.094741	1	133669	616	f97bbbdf4025bbe0
24	48	13.982966,44.772980 11.718906,19.297061	3.956048	b	s	5.671608	0	29851	152	73a3db6d7c4c6238
40	40	5.072697,22.732734 6.128990,35.351460 12.224485,28.110088 14.619514,4.013771	7.309173	b	b	9.282877	0	79260	365	0358896ca06b5851
56	33	40.764800,19.860238 22.349371,23.201484 16.685138,20.593329 14.092415,24.362269 14.504280,4.017362 53.982363,4.236710 5.853211,10.920961	5.631645	r	b	2.524438	0	160530	724	db342f3aadc9ee9b
24	48	9.426875,23.409223 10.364199,40.581156 21.823522,26.936460	2.646245	b	r	5.634476	1	30609	172	26f18e7f69648346
40	40	23.298869,2.656426 15.137163,25.671953 28.826491,8.822496 35.797151,36.666568 15.491723,10.670815 21.578690,22.170389	6.476613	m	b	8.399254	1	163910	737	69f5e66b79d97531
56	33	24.826567,24.883708 4.874863,30.389351 20.846084,12.541903 43.329100,26.545792 41.450399,12.642461 11.362894,10.433167 8.257396,14.619302	4.267097	r	r	4.434912	1	138345	671	665ee96f5fe35d72
24	48	3.688214,44.639562 13.713639,36.652562 21.851486,33.378392 7.722957,37.219234 21.717128,2.673612 20.653794,13.571779 19.604320,43.035783	3.269638	r	b	7.556618	1	92787	473	99fa13d8ae327fe0
40	40	27.545667,24.552180 4.565314,14.198132 21.609004,21.638908	5.580337	m	r	7.564470	0	41660	198	6212a9017243fbd7
56	33	41.274362,18.412718 9.116119,4.256640 48.214498,16.482899 12.458827,29.434222 4.333288,20.071882 43.525827,16.642329 19.414958,18.199223	3.034725	r	b	5.801556	1	114953	573	a2cfbc37849c7844
24	48	6.911488,15.895885 15.435416,15.181045 6.379679,23.069184 3.319622,41.839933 4.648567,11.201002 13.116439,34.968855 9.277766,44.963741	5.634489	r	s	2.125383	1	118754	530	aea603fd9b8c94d3
40	40	15.631854,30.219213 9.835671,5.652818 4.427189,15.754560 36.426064,16.011012 22.480220,28.762709 29.096994,8.279934	4.147814	m	s	9.464797	1	129073	628	38c9c339d9f5f75e
56	33	26.687899,26.210503 8.016611,21.051697 19.668295,16.595367 12.717755,13.335739	1.967599	m	b	8.336509	1	28707	182	ed3c7b67fcaa9fa2
24	48	19.075784,30.159653 9.682376,12.937993 18.144489,38.029892 10.342891,20.845397	4.935153	r	b	5.300903	1	54388	260	dc3f93c8b67346d1
40	40	33.784407,10.967655 27.331006,31.107431 4.498704,19.412035	4.929645	b	r	8.987959	1	90625	444	ef73b22139114588
56	33	12.629250,26.709055 18.788001,10.272029	6.402004	b	r	3.784230	0	36545	177	33988a6f42f704a0
24	48	2.342314,34.542512 15.760800,31.440015 21.457028,7.069746 15.478759,9.981596 6.261755,26.444578 8.184582,2.968893 5.596498,31.161152	2.060111	r	b	9.843153	1	52272	299	e964140d413e425b
40	40	18.570005,21.055359 30.289062,12.560190	3.364782	r	r	5.175359	0	14502	84	bf25972b65e5294f
56	33	39.684894,21.265028 31.070142,7.174014 7.789495,7.406563 40.813433,27.628334	6.328728	m	r	7.982387	0	132345	602	dda98fda5fdd565e
24	48	20.170584,6.934145 6.420986,41.135993 3.866715,42.453476 5.116961,27.038689 4.063926,13.885414 17.908962,37.878073 17.853576,11.359697 15.478076,35.880249	2.866255	b	s	3.208002	1	86138	437	c7da614c1c4f11eb
40	40	19.563580,11.669855 26.948283,8.181961 32.015225,11.416345 19.775069,37.272851 13.337522,12.604965 3.083103,2.031044 36.483395,8.184118 31.856841,35.781685	6.398822	m	b	1.639870	1	229900	1010	420fcf172f8d638b
56	33	33.161253,25.837794 41.342446,9.992659 5.664784,7.133476 13.687467,12.888491 19.032904,30.426559 37.166498,10.450460	5.581606	r	s	8.496133	1	146572	675	2900f6fc1cd0d81d
24	48	8.816226,30.135642 5.875887,3.104145	5.042186	b	b	9.017610	0	35001	175	7759dfce66a34e12
40	40	33.453352,28.448571 21.281942,5.775972 16.279558,17.856928 28.338270,2.946823 20.281770,14.137542	4.477375	m	r	9.456549	0	65976	338	e702f8bdb8003b97
56	33	47.101819,13.286976 26.287339,5.511744 10.177899,25.551001 26.849074,25.404787	5.604271	b	b	1.951773	0	88510	432	a093da666bbbd887
24	48	7.175984,22.807275 12.235812,13.458921 20.700671,8.596944 17.941189,32.006502 11.981492,12.378481	1.582165	b	b	7.739825	1	26297	170	6bcdf081ccb9c524
40	40	4.463895,13.292719 9.186047,8.435828 8.458721,32.879645 22.203796,15.513959 15.382392,5.099613 9.930012,32.150254 29.722951,15.188883 23.745861,2.481057	4.123081	m	s	6.515172	1	132898	631	8eff323f5074c871
56	33	11.334638,30.509662 47.308744,6.787526 11.855382,23.458278 36.056041,9.633774	7.083350	b	r	11.303163	1	116386	526	3e89ba2d6984c6b1
24	48	8.383486,15.985404 17.733511,33.967422 19.837167,32.733535 13.919247,43.421147 12.583170,14.937537 18.135504,18.688857 8.143755,14.810451 11.291139,27.459338	4.395351	b	s	7.590810	1	66048	307	08848ef41a04659d
40	40	19.752017,6.920314 2.854730,3.214345 20.496054,26.571499 37.363509,29.065230	2.369501	b	r	7.107289	0	38813	232	3281e57eba9942c8
56	33	49.664233,26.378960 14.190543,14.770638 24.870610,12.669061 26.965764,22.491531 25.918929,27.689306 11.714559,5.250512 53.139234,27.542575 5.270164,24.172763	5.764905	r	b	8.273889	0	179686	795	3237359e266a059f
24	48	20.218819,35.068208 10.460596,43.719237 4.140509,45.244203 17.725226,11.215376 13.066593,3.153429 11.859898,38.949820 13.002364,15.690347	2.386665	r	b	4.449368	0	59353	326	b939e3994550023c
40	40	2.216533,32.750998 31.827657,15.880473 2.297848,17.521023	5.081645	m	r	10.177853	1	100388	466	3ef8300e0afdeb35
56	33	23.462747,12.369316 8.907947,9.815772 19.331726,17.406382 18.457686,14.784028 6.300799,10.726114 24.004551,14.278827	4.231122	b	b	8.333032	1	34090	165	401caa3995c73a51
24	48	18.860345,31.603249 13.582470,18.194266 17.945918,3.855109 15.003288,29.090155 17.175392,4.610410 9.566401,32.292436 10.598911,39.868419 11.868608,18.073430	4.067197	r	b	9.441050	1	72074	333	b19f850077f7c423
40	40	13.827654,24.396688 32.354001,8.647419 6.331726,5.666448	1.535459	r	r	10.687452	0	20133	141	4832627d6057126c
56	33	44.742283,2.906533 22.293844,21.701952 22.459784,26.026359	5.323684	r	b	7.591079	1	63212	305	e29dbb91beacdceb
24	48	8.625162,17.759770 3.568134,39.155810 9.462669,29.543068 9.787624,41.000694	3.173362	r	s	4.538623	0	34421	179	87e636b81b1e3bea
40	40	7.340110,24.748963 29.141442,22.141162 34.893205,14.914337 32.835923,5.789723	6.538451	b	b	4.487616	0	67412	317	bd75cf2713f7a491
56	33	40.164169,3.414843 30.447712,18.743939 2.391306,4.321554 18.033559,11.502438 2.104739,25.203877 2.972191,9.565803 25.682370,15.125182	3.951994	m	s	4.361147	1	108969	527	532f6749340d1650
24	48	16.636483,17.089371 5.739779,26.900263 16.419119,24.373645 14.435050,12.479785 9.231231,11.980585 18.235286,26.419769	6.786971	m	r	7.081170	0	78362	359	d34f5464d28d2e95
40	40	11.979197,24.464153 32.392509,37.941098 26.431040,31.227608 7.079839,15.096698	6.738040	b	r	5.771418	1	81650	378	153cc8bc9ee6fba7
56	33	13.212125,7.968036 13.561687,23.053877	1.853202	r	s	2.923692	0	8016	51	575fa87e9a1612fd
24	48	18.041450,42.446571 20.640434,42.283578 8.667446,21.526621	4.260044	m	s	6.023351	1	37249	186	cbfcdd8ee0a673b8
40	40	15.331753,33.101908 32.490408,37.590152 2.933080,28.703120 10.578923,14.425139 19.291716,32.969905 5.242600,28.078992	1.897658	b	s	9.897913	1	38948	224	2d482ba97a1f2853
56	33	16.989271,28.202429 31.860156,22.854092 33.460187,30.554481 22.612772,28.890137 30.312328,8.575014	1.918621	b	r	7.360862	1	35418	211	bd07f651ed90e441
24	48	3.764408,3.865340 16.469086,16.022047 9.045409,22.063687 18.638972,31.980278	4.915606	b	b	6.021986	1	64835	306	4aa138d44805dfba
40	40	24.445544,34.553093 11.983948,27.112783 15.484913,11.255199 16.977086,3.504263 8.495882,19.468559 4.267560,7.993001	7.410112	m	s	2.916257	0	120560	555	db64098456d04eed
56	33	23.507325,17.325296 19.500462,2.294420	1.659798	r	s	10.463728	0	7310	54	df17842dd643e333
24	48	21.853318,37.921334 19.679571,29.814313 12.079729,39.677975 8.934222,35.559239 19.970438,31.643772 11.690312,26.443460 5.955945,18.680122	5.638841	r	r	9.293924	1	70433	324	324e4d6ebbcd3cfc
40	40	14.472742,16.227545 17.231218,22.590366 6.977468,8.577783	6.734651	b	s	9.827047	0	39351	194	75c75c4ef3f5346e
56	33	24.238316,9.180112 26.609868,24.904206 33.682782,26.261137 40.342993,22.514064 28.975606,29.280740 33.672752,5.097646 18.342001,25.472680 37.454759,26.832832	1.904532	m	s	8.118784	1	54240	310	0b4930ec45879d9f
24	48	20.811541,6.905815 20.552385,3.331207 11.779535,36.020793 20.844554,29.606549 9.842070,12.493352 20.601087,44.992314 20.738254,13.497756	6.309682	r	s	8.080032	1	140161	603	f614c710e968499c
40	40	36.019150,6.622726 2.059446,2.788019 29.796666,10.435980 30.210461,24.041242 25.700520,13.247975 7.133415,30.613462 7.273325,4.311350	6.664665	m	b	10.965098	1	197273	894	3b7409c87194a366
56	33	16.136791,20.832843 18.512789,10.161807 12.009580,11.445634 10.076807,26.168929 10.075307,7.080465 11.345336,19.101030	2.403946	b	r	10.058004	1	29210	162	1329253f5b1f634b
24	48	5.819136,43.023102 15.416263,6.405867 4.102875,34.572719 20.201162,14.691705 13.565575,8.084436 4.622157,10.213069	2.211754	m	b	5.865258	1	66041	358	f4fa773a9fbf0140
40	40	10.492459,33.586356 17.511197,11.796941 23.440944,32.027842 3.928467,26.053421 6.553866,8.432171 16.357107,11.213578 9.005979,23.435845 13.086684,12.594254	6.484905	b	s	10.426771	1	137558	601	fbd02ed4321e63ab
56	33	40.060300,11.899526 30.171658,5.084053 32.424210,27.578701 51.375904,18.356487 22.148631,15.073927 15.447477,23.889869	6.492311	r	s	6.347550	0	147032	668	0b66f756b7fe9347
24	48	4.407653,8.539089 19.731875,26.907530 15.038015,32.206776 20.696382,10.617134	6.792439	m	r	2.001118	0	82401	384	ff706b0b9e70c868
40	40	6.627414,36.440813 7.143817,22.112720 6.529378,35.862683 35.254519,36.711371 26.587724,16.030165 28.519757,13.737417 36.594417,14.569435	4.351287	r	s	8.702339	1	115985	558	890d0a5318f38b2c
56	33	31.923784,26.399787 26.266979,19.033008 48.057810,18.218130 28.250943,6.465066	5.919744	b	r	9.883666	0	78073	376	338b2c5233af26cc
24	48	9.625908,19.738679 8.172636,29.321812 10.831535,13.745238 3.217861,23.363049 12.853256,35.937149	4.501495	b	r	9.905583	1	49390	232	e309cbfa97d28943
40	40	36.535839,13.965572 10.292791,24.122165 18.413521,33.281489 17.360720,30.160261 37.445183,25.465198	6.105238	b	r	6.154691	0	97696	466	8c268beae0c52233
56	33	25.955426,15.843642 15.183936,25.544144 30.433549,4.589393	1.958103	b	b	5.828909	1	22657	130	3d62e36f0a9f1258
24	48	4.857832,41.082230 9.933884,19.590341 12.032689,10.785875 17.331472,26.258850 4.643719,38.384973 11.644014,4.050075	6.280262	r	s	9.731607	1	112939	503	9cf3b7e53f4d7b06
40	40	19.612722,30.453689 15.399614,4.897205 19.889224,28.170407 26.232630,19.876954 13.193720,37.467293 4.539404,31.768962	5.455477	m	s	3.860411	0	82600	386	f5a7c2febe4a2201
56	33	31.507417,12.601050 32.366846,21.789046 47.054699,23.676136 14.412302,13.889409 53.968905,19.927320 50.816383,11.299150	3.883919	b	s	5.853815	0	79972	384	cd2ab3e3932b8735
24	48	12.943644,35.179902 5.546028,9.125058 13.258182,25.205661 2.413172,18.353746 17.479301,5.229270 19.764128,2.152451 19.521476,30.091214	3.029385	b	s	7.659732	1	73974	385	86ea093fea8d9d41
40	40	37.641276,14.711028 35.309451,3.581773 10.788876,23.163502 22.532971,19.003320	5.605305	r	s	6.450946	0	76126	359	5d303e802899e57f
56	33	27.076832,15.051590 29.522016,15.983154 2.126997,21.266515	2.499829	b	b	3.047548	1	24015	124	f29aa0268b973b7c
24	48	2.554863,20.492262 18.285901,30.893236	3.664637	r	s	6.003988	0	21103	118	68189383088202b8
40	40	20.928596,32.850778 18.985418,11.872637 10.568073,19.139202	5.117295	b	r	10.395845	1	55799	265	c3e771380e9cd1d4
56	33	41.608922,7.518146 3.766651,19.549186 14.996707,15.577360 48.926861,24.691069 31.131570,28.219863 19.526514,7.730694 28.490250,27.378629 30.525705,22.494644	6.079604	m	r	2.748737	1	163686	730	1c8a6f4b75a5457f
24	48	6.984458,44.681648 20.482554,22.074425 19.934704,39.523249 6.936440,14.342756	3.928310	b	s	6.641854	0	64723	327	bb1a9d1115c92c32
40	40	25.500239,19.526808 25.370809,22.593970 28.485400,27.625260 15.291544,5.706731 29.713444,27.756364 7.080951,15.275666	3.184768	r	r	4.452753	0	46198	246	2b4c266ca0964aa9
56	33	13.514514,23.593481 25.880200,30.774450 20.354242,9.741893 7.746040,10.682209 3.816368,7.741880 23.103143,9.133836 46.123000,18.082691 40.408582,19.951156	2.976032	m	s	2.659576	0	73243	393	7dcde12c8be93438
24	48	19.536202,28.728871 15.457749,24.792321 20.625235,3.947368 21.826600,33.565471 16.773483,7.551614 21.593040,28.841792	7.083869	r	r	10.413334	0	85477	366	c300de53de5a4b86
40	40	2.003503,2.356309 9.145886,35.490272 4.617778,6.505793	2.854691	r	r	6.950324	1	34498	180	5abd82a1a2c649af
56	33	49.430396,29.155414 15.647776,13.449673 38.445114,7.192950 51.609126,22.563092	3.528558	b	r	9.196627	1	76925	410	2b9b47919dbb07c2
24	48	6.644677,10.991641 14.863862,17.733776 8.967853,35.418826 12.828155,11.757785 15.430978,5.287883 14.980536,24.361911 2.869107,3.801239	6.810734	r	s	4.175416	1	106511	475	0a730f8f6b0a3b50
40	40	15.543817,31.186614 27.103666,11.787479 8.651534,35.790655	4.672114	b	b	9.532173	1	48001	237	d83b803179f980fc
56	33	8.838359,28.510390 9.199272,20.504433 46.032415,21.720128 34.596135,20.600882 46.543326,27.903020 41.978942,13.426306 35.098079,19.058358 49.316429,5.231063	1.966198	r	b	5.453838	0	47612	276	5b4ca3a841e74c6d
24	48	10.483380,13.942639 19.997065,26.919499 13.408898,11.900957 15.132504,35.796940 16.054902,42.358736 19.758826,44.217800	4.498311	r	b	3.475021	0	57461	281	c3456ca1a7eb615e
40	40	22.888080,17.060771 26.872283,37.954866	3.216659	r	r	7.479922	0	19366	108	bf84f0962ed38133
56	33	23.253019,11.651748 46.273407,25.871467	1.643796	r	s	4.937736	0	12095	89	d2a07355c34bea6a
24	48	14.088333,26.022885 5.245686,16.112679 11.653705,23.427776 10.333298,16.960534 19.724524,31.263067	2.407867	b	r	9.185639	1	22416	120	f55f87cd5ce1faad
40	40	33.464504,37.468193 17.452964,34.409207 23.270475,14.621061 18.879760,7.257315 8.074392,36.230129 9.853336,33.470777 6.656966,4.918634 7.769418,10.260099	6.849769	b	s	2.095722	0	168704	759	765907b896c5b825
56	33	18.569804,11.786659 21.124849,28.245605 37.691840,9.336518 4.494374,8.171807 42.998501,29.033700 26.972361,8.965770	2.461412	m	r	3.291987	1	85743	464	53d9696158f2bf5c
24	48	3.703606,33.226704 8.547355,20.270883 13.428135,34.736671 14.130512,41.447342 9.502770,32.617510 15.901801,13.324045 10.175237,2.613159	5.760419	r	s	2.602482	0	99636	462	f66259e4ee6c0219
40	40	11.620231,30.334035 24.923583,28.653155 28.594773,14.956104 35.353547,9.522043 23.257589,34.660141 33.404468,5.769562	3.907280	b	s	4.187114	1	82859	401	af686a0a9db62094
56	33	52.969595,13.658240 10.971723,9.099518 49.339932,14.980481 34.933525,22.688406 24.507278,11.925270	2.075199	b	b	3.276980	1	49248	266	ab3502f1e322c5e1
24	48	15.726443,26.738400 4.293706,36.830043 11.011970,22.466605 12.721925,19.451342	7.045925	m	b	5.645176	0	56469	265	a8a9962ed23419bc
40	40	8.295207,32.512804 16.002297,14.174224 35.005071,36.151492	5.458316	b	s	6.844532	0	73671	367	198980676902b918
56	33	14.847405,9.931015 16.841397,22.963406 47.620189,5.172983 11.813453,26.887338 16.568320,27.193134 9.709709,2.313530 39.531250,25.599003 36.507681,19.365065	6.538110	b	b	3.781964	1	165436	740	13d808099714bd4f
24	48	8.357218,23.682394 17.222056,25.245732	3.804503	r	r	3.916941	0	11454	64	9907dcce1b15dc79
40	40	15.504241,23.850586 2.664907,20.773084 7.201330,14.396706	3.089306	b	s	11.176775	1	23736	127	66d9ada6286c56f5
56	33	14.746375,29.550103 36.509497,23.579787 12.157334,11.417406 43.174055,9.081207 49.552591,13.931166 13.852118,6.541021 47.104430,29.747135	2.476573	m	s	9.540493	1	115602	606	f05a756976f7b7ad
24	48	15.409649,20.058719 4.612931,7.594519 8.336945,34.316940	5.469173	m	b	8.252892	1	82893	400	ae59d136c851e910
40	40	34.614806,12.023549 25.206632,29.340176 32.662670,36.789353	3.828167	r	s	2.966771	1	49600	246	d258e49a80bc960b
56	33	23.624110,13.542970 49.985267,5.788402 51.054565,9.551964 40.911491,8.141465 25.873125,4.578558	5.169004	b	s	10.684541	1	68680	322	7499dcec16f17975
24	48	9.707541,6.796663 8.834875,33.911921 5.554899,39.806537 12.866068,32.246935 10.588200,42.428270	6.492573	r	s	8.034332	0	85572	393	3e489884cef4ba65
40	40	15.048341,16.505953 14.337482,29.586294 29.080160,28.025336 13.105939,11.025628	2.485245	m	b	2.549489	1	34644	196	8af6182dc3ebaead
56	33	8.328888,27.909382 51.266153,27.816562 3.939992,3.915889 42.942295,15.445394 21.287723,27.626984	6.398672	b	b	5.816433	0	197603	904	665c8b4611ef2732
24	48	5.477856,13.033641 13.867298,42.310542 20.222691,11.418624 7.048194,5.274631 16.484663,38.952402 7.185249,24.802913	2.995266	b	b	6.973169	0	79797	409	9f23f8e4f822ebd8
40	40	7.236711,12.799503 27.867578,9.993760 8.405514,34.584298 31.727672,28.068721 8.578426,34.577167	5.900034	r	r	2.694199	1	139627	630	b9edba3f126cc424
56	33	12.317441,29.016359 7.117900,7.190291 27.006572,24.031446 34.680040,9.392932 13.875920,29.842499 50.292671,9.449521 6.235734,19.183913	5.900039	r	r	10.671891	1	180887	808	cf662902f89d18fe
24	48	17.369651,8.405127 10.244533,41.160407 8.970132,39.196489 11.029398,26.676825 17.116222,32.402057 13.405462,36.192047 21.797006,31.287630 17.653636,28.577198	4.586175	r	b	7.414437	1	80469	363	95cd413f83928e7e
40	40	34.267084,18.729113 2.139719,29.034495 20.097258,8.059542	4.274173	m	b	5.614491	0	64961	331	f481040d392611f6
56	33	42.980775,8.053373 48.308638,12.729821 28.839549,5.770417	4.759508	r	r	9.475169	1	37060	180	285389147844d63d
24	48	14.809593,30.536550 20.448313,34.533161 17.481966,40.399256 12.544065,4.729046 16.974493,15.380489 18.521415,24.237812 20.731538,3.665786	4.037561	b	b	5.668374	1	73343	342	663c036ce3e5e46e
40	40	5.214295,17.789109 33.904479,23.205754 29.233761,7.349902 32.023379,17.465166 25.060833,34.804791 12.342778,37.390078	2.269114	m	b	11.308488	1	56523	326	b5441c78ccec76de
56	33	31.137913,15.096297 6.498366,6.503130 38.132731,14.317953	4.620342	r	r	4.105701	1	53511	260	fca132bae85d2160
24	48	2.665460,32.382596 16.808269,43.954304 14.923417,23.035634 9.535572,34.292665 15.252242,24.582996 14.502953,10.231421 2.648426,32.805368 13.988325,22.843590	2.478077	r	s	8.058666	1	63589	338	7873888618026f5a
40	40	17.668601,5.283030 12.047950,6.048876 31.420970,19.061109 2.183821,17.190863	5.672546	r	b	2.144756	1	94327	436	cc7551c5a8a26826
56	33	44.840087,26.280779 16.936248,23.405506 43.601851,26.210781 36.618358,22.467828	7.177180	m	r	11.308980	1	75019	329	2dd309be3089985c
24	48	6.181534,17.743968 11.110822,34.695264 20.772692,42.643802 6.272772,32.714053 8.903479,8.357085 13.997058,25.804404 14.476304,27.751146 11.780221,23.489135	3.265004	r	b	5.454921	0	62251	318	8c558913ea3150c4
40	40	16.575797,7.647187 33.409128,16.406421 26.134747,19.816586	4.475485	r	b	6.607427	0	29658	154	ea9c8807452fd459
56	33	19.192417,24.822878 15.895283,19.156814 53.382109,26.931753 18.899069,8.061076 19.022827,27.249696 25.212722,13.125707 35.873234,12.460665 24.709401,18.705158	6.436031	b	r	7.709251	0	142944	632	4c56138dc518f3d7
24	48	17.110598,4.654903 10.442252,36.203484 10.940842,38.983095	4.200585	r	b	4.350691	0	37630	195	75f4eb18185880af
40	40	26.783257,29.572746 4.105715,14.386102 34.979626,4.415614 2.705253,37.545516 21.895407,19.976735 6.463675,15.097724	2.412739	r	r	8.046463	1	77703	427	1a8785cc05474c42
56	33	47.340297,8.279300 25.252845,7.576539 52.047647,12.744092	7.239669	m	b	2.451749	0	61074	276	a1cecd1b4827343f
24	48	6.476993,19.559894 20.567290,42.957007 17.086929,29.298086	5.697866	r	b	3.471586	0	50173	243	a432376ab1f7a68a
40	40	2.792171,4.839963 32.765676,3.338271 23.158913,4.872611	6.199441	b	b	10.485329	0	49715	232	c850d0762330dafe
56	33	49.389731,21.717147 6.132616,3.959160 51.530146,9.408845 31.236270,23.814925	6.157413	m	s	5.287823	0	164003	752	8d1a78db621c17a4
24	48	6.754562,32.347306 15.022119,44.903427 3.897539,32.049252 5.897475,40.057691 6.963763,11.188940 17.203536,11.613428 8.864185,35.901830	5.064346	m	b	8.821488	1	111678	524	5fd18c944dd0ddab
40	40	29.120882,34.272844 2.042360,17.286309	7.179840	r	b	9.455716	0	58624	286	c1cf7ec722497d2b
