gray-0	0.0000 0.0000 0.0000	mutool
gray-0.25	0.2500 0.2500 0.2500	mutool
gray-0.5	0.5000 0.5000 0.5000	mutool
gray-1	1.0000 1.0000 1.0000	mutool
rgb-1-0-0	1.0000 0.0000 0.0000	mutool
rgb-0-1-0	0.0000 1.0000 0.0000	mutool
rgb-0-0-1	0.0000 0.0000 1.0000	mutool
rgb-0.2-0.4-0.8	0.2000 0.4000 0.8000	mutool
rgb-1-1-1	1.0000 1.0000 1.0000	mutool
cmyk-1-0-0-0	0.0000 0.6824 0.9373	mutool
cmyk-0-1-0-0	0.9294 0.0078 0.5490	mutool
cmyk-0-0-1-0	1.0000 0.9451 0.0039	mutool
cmyk-0-0-0-1	0.1373 0.1216 0.1255	mutool
cmyk-0.2-0.4-0.6-0.1	0.7333 0.5608 0.4078	mutool
cmyk-0-0-0-0	1.0000 1.0000 1.0000	mutool
indexed-1	0.0000 1.0000 0.0000	mutool
indexed-3	0.5020 0.5020 0.5020	mutool
lab-mid	0.4963 0.4293 0.6669	poppler
lab-white	1.0000 1.0000 1.0000	mutool
separation-type2	0.2500 0.4000 0.7000	poppler
separation-type2-squared	0.2500 0.2500 0.2500	poppler
separation-type3	0.0000 0.5000 0.5000	poppler
separation-type4	0.4000 0.2000 0.6000	poppler
separation-type4-cond	0.9000 0.9000 0.9000	poppler
separation-type0	0.5020 0.5020 0.5020	poppler
devicen-two	0.4000 0.2000 0.6000	poppler
devicen-roll	0.7500 0.7500 0.7500	poppler
separation-all	0.5000 0.5000 0.5000	mutool
iccbased-rgb	0.2000 0.4000 0.8000	mutool
iccbased-cmyk	0.5882 0.5294 0.4627	mutool
calrgb	0.0000 0.5344 0.8104	poppler
calgray	0.5039 0.5039 0.5039	mutool
