# file	page	dpi	score	bad	engine
160F-2019.pdf	1	100	0.00310	0.0000	cairo
22060_A1_01_Plans.pdf	1	100	0.03166	0.0972	gs
90ms_rksj_h_sample.pdf	1	100	0.00033	0.0009	mupdf
ArabicCIDTrueType.pdf	1	100	0.00096	0.0001	cairo
ContentStreamCycleType3insideType3.pdf	1	100	0.00483	0.0157	gs
ContentStreamNoCycleType3insideType3.pdf	1	100	0.00405	0.0158	gs
Embedded_font.pdf	1	100	0.00020	0.0000	mupdf
GHOSTSCRIPT-698804-1-fuzzed.pdf	1	100	0.00000	0.0000	poppler
IdentityToUnicodeMap_charCodeOf.pdf	1	100	0.00407	0.0040	mupdf
IndexedCS_negative_and_high.pdf	1	100	0.00038	0.0000	mupdf
PDFBOX-3148-2-fuzzed.pdf	1	100	0.00000	0.0000	mupdf
PDFBOX-4352-0.pdf	1	100	0.00000	0.0000	mupdf
PDFJS-7562-reduced.pdf	1	100	0.00000	0.0000	poppler
PDFJS-9279-reduced.pdf	1	100	0.00001	0.0000	cairo
Pages-tree-refs.pdf	1	100	0.00032	0.0005	mupdf
S2.pdf	1	100	0.25467	0.4463	cairo
ShowText-ShadingPattern.pdf	1	100	0.07191	0.1097	mupdf
SimFang-variant.pdf	1	100	0.00022	0.0006	gs
TAMReview.pdf	1	100	0.00368	0.0000	cairo
Test-plusminus.pdf	1	100	0.00035	0.0000	cairo
ThuluthFeatures.pdf	1	100	0.00835	0.0093	mupdf
TrueType_without_cmap.pdf	1	100	0.00063	0.0000	mupdf
Type3WordSpacing.pdf	1	100	0.00629	0.0119	mupdf
XiaoBiaoSong.pdf	1	100	0.00870	0.0207	gs
ZapfDingbats.pdf	1	100	0.00921	0.0079	mupdf
acroform_calculation_order.pdf	1	100	0.00024	0.0000	mupdf
alphatrans.pdf	1	100	0.03393	0.1030	cairo
annotation-border-styles.pdf	1	100	0.00005	0.0000	mupdf
annotation-button-widget.pdf	1	100	0.00022	0.0001	cairo
annotation-caret-ink.pdf	1	100	0.00005	0.0000	mupdf
annotation-choice-widget.pdf	1	100	0.00042	0.0003	cairo
annotation-fileattachment.pdf	1	100	0.00005	0.0000	mupdf
annotation-freetext.pdf	1	100	0.00004	0.0000	mupdf
annotation-highlight-without-appearance.pdf	1	100	0.00101	0.0033	poppler
annotation-highlight.pdf	1	100	0.00030	0.0013	cairo
annotation-ink-without-appearance.pdf	1	100	0.00110	0.0030	mupdf
annotation-line-without-appearance-empty-Rect.pdf	1	100	0.00171	0.0033	mupdf
annotation-line-without-appearance.pdf	1	100	0.00111	0.0020	mupdf
annotation-line.pdf	1	100	0.00002	0.0000	mupdf
annotation-link-text-popup.pdf	1	100	0.00005	0.0000	mupdf
annotation-polyline-polygon-without-appearance.pdf	1	100	0.00580	0.0116	cairo
annotation-polyline-polygon.pdf	1	100	0.00006	0.0000	cairo
annotation-square-circle-without-appearance.pdf	1	100	0.02645	0.0633	poppler
annotation-square-circle.pdf	1	100	0.00005	0.0000	cairo
annotation-squiggly-without-appearance.pdf	1	100	0.00020	0.0008	cairo
annotation-squiggly.pdf	1	100	0.00005	0.0000	mupdf
annotation-stamp.pdf	1	100	0.00004	0.0000	mupdf
annotation-strikeout-without-appearance.pdf	1	100	0.00023	0.0008	cairo
annotation-strikeout.pdf	1	100	0.00005	0.0000	mupdf
annotation-text-widget.pdf	1	100	0.00353	0.0083	cairo
annotation-text-without-popup.pdf	1	100	0.00017	0.0000	mupdf
annotation-tx.pdf	1	100	0.00035	0.0008	cairo
annotation-tx2.pdf	1	100	0.00004	0.0000	cairo
annotation-tx3.pdf	1	100	0.00010	0.0000	cairo
annotation-underline-without-appearance.pdf	1	100	0.00030	0.0008	mupdf
annotation-underline.pdf	1	100	0.00005	0.0000	mupdf
annotation_hidden_noview.pdf	1	100	0.00043	0.0000	mupdf
annotation_hidden_print.pdf	1	100	0.00000	0.0000	mupdf
arial_unicode_ab_cidfont.pdf	1	100	0.00003	0.0000	cairo
arial_unicode_en_cidfont.pdf	1	100	0.00035	0.0000	cairo
asciihexdecode.pdf	1	100	0.00012	0.0001	mupdf
attachment.pdf	1	100	0.00003	0.0000	poppler
auth-event-ef-open.pdf	1	100	0.00013	0.0001	poppler
autoprint.pdf	1	100	0.00000	0.0000	mupdf
bad-PageLabels.pdf	1	100	0.00452	0.0008	cairo
basicapi.pdf	1	100	0.00031	0.0000	mupdf
bigboundingbox.pdf	1	100	0.00138	0.0000	cairo
bitmap-composite-and-xnor-halftone.pdf	1	100	0.06837	0.0752	gs
bitmap-composite-and-xnor-refine.pdf	1	100	0.00000	0.0000	gs
bitmap-composite-and-xnor-text.pdf	1	100	0.06836	0.0758	cairo
bitmap-composite-and-xnor.pdf	1	100	0.06836	0.0758	cairo
bitmap-composite-or-xor-replace-halftone.pdf	1	100	0.06836	0.0758	cairo
bitmap-composite-or-xor-replace-refine.pdf	1	100	0.00000	0.0000	gs
bitmap-composite-or-xor-replace-text.pdf	1	100	0.06836	0.0758	cairo
bitmap-composite-or-xor-replace.pdf	1	100	0.06836	0.0758	cairo
bitmap-customat-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-customat.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone-10bpp-mmr.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone-10bpp.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone-composite.pdf	1	100	0.07484	0.0851	cairo
bitmap-halftone-grid.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone-refine.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone-skip-dummy.pdf	1	100	0.00000	0.0000	poppler
bitmap-halftone-skip-grid-template1.pdf	1	100	0.00000	0.0000	poppler
bitmap-halftone-skip-grid-template2.pdf	1	100	0.00000	0.0000	poppler
bitmap-halftone-skip-grid-template3.pdf	1	100	0.00000	0.0000	poppler
bitmap-halftone-skip-grid.pdf	1	100	0.00000	0.0000	poppler
bitmap-halftone-template1.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone-template2.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone-template3.pdf	1	100	0.06836	0.0758	cairo
bitmap-halftone.pdf	1	100	0.06836	0.0758	cairo
bitmap-initially-unknown-size.pdf	1	100	0.06836	0.0758	cairo
bitmap-mmr.pdf	1	100	0.06836	0.0758	cairo
bitmap-p32-eof.pdf	1	100	0.06836	0.0758	cairo
bitmap-randomaccess.pdf	1	100	0.06836	0.0758	cairo
bitmap-refine-customat-tpgron.pdf	1	100	0.00000	0.0000	gs
bitmap-refine-customat.pdf	1	100	0.00000	0.0000	gs
bitmap-refine-lossless.pdf	1	100	0.00000	0.0000	gs
bitmap-refine-page-subrect.pdf	1	100	0.06836	0.0758	cairo
bitmap-refine-page.pdf	1	100	0.06836	0.0758	cairo
bitmap-refine-refine.pdf	1	100	0.00000	0.0000	gs
bitmap-refine-template1-tpgron.pdf	1	100	0.00000	0.0000	gs
bitmap-refine-template1.pdf	1	100	0.00000	0.0000	gs
bitmap-refine-tpgron.pdf	1	100	0.00000	0.0000	gs
bitmap-refine.pdf	1	100	0.00000	0.0000	gs
bitmap-stripe-initially-unknown-height.pdf	1	100	0.06836	0.0758	cairo
bitmap-stripe-last-implicit.pdf	1	100	0.06836	0.0758	cairo
bitmap-stripe-single-no-end-of-stripe.pdf	1	100	0.06836	0.0758	cairo
bitmap-stripe-single.pdf	1	100	0.06836	0.0758	cairo
bitmap-stripe.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-big-segmentid.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-context-reuse.pdf	1	100	0.00000	0.0000	poppler
bitmap-symbol-empty.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-negative-sbdsoffset.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-refine.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-symbolrefine-textrefine.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-symbolrefineone-customat.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-symbolrefineone-template1.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-symbolrefineone.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-symbolrefineseveral.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-symhuff-texthuff.pdf	1	100	0.06837	0.0752	gs
bitmap-symbol-symhuff-texthuffB10B13.pdf	1	100	0.06837	0.0752	gs
bitmap-symbol-symhuffB5B3-texthuffB7B9B12.pdf	1	100	0.00000	0.0000	poppler
bitmap-symbol-symhuffcustom-texthuffcustom.pdf	1	100	0.06837	0.0752	gs
bitmap-symbol-symhuffrefine-textrefine.pdf	1	100	0.00000	0.0000	gs
bitmap-symbol-symhuffrefineone.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-symhuffrefineseveral.pdf	1	100	0.00000	0.0000	gs
bitmap-symbol-symhuffuncompressed-texthuff.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-textbottomleft.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-textbottomlefttranspose.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-textbottomright.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-textbottomrighttranspose.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-textcomposite.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-texthuffrefine.pdf	1	100	0.00000	0.0000	gs
bitmap-symbol-texthuffrefineB15.pdf	1	100	0.00000	0.0000	gs
bitmap-symbol-texthuffrefinecustom.pdf	1	100	0.00000	0.0000	mupdf
bitmap-symbol-texthuffrefinecustomdims.pdf	1	100	0.00000	0.0000	gs
bitmap-symbol-texthuffrefinecustompos.pdf	1	100	0.00000	0.0000	gs
bitmap-symbol-texthuffrefinecustomposdims.pdf	1	100	0.00000	0.0000	mupdf
bitmap-symbol-texthuffrefinecustomsize.pdf	1	100	0.00000	0.0000	gs
bitmap-symbol-textrefine-customat.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-textrefine-negative-delta-width.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-textrefine.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-texttopright.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-texttoprighttranspose.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol-texttranspose.pdf	1	100	0.06836	0.0758	cairo
bitmap-symbol.pdf	1	100	0.06836	0.0758	cairo
bitmap-template1-customat-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-template1-customat.pdf	1	100	0.06836	0.0758	cairo
bitmap-template1-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-template1.pdf	1	100	0.06836	0.0758	cairo
bitmap-template2-customat-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-template2-customat.pdf	1	100	0.06836	0.0758	cairo
bitmap-template2-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-template2.pdf	1	100	0.06836	0.0758	cairo
bitmap-template3-customat-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-template3-customat.pdf	1	100	0.06836	0.0758	cairo
bitmap-template3-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-template3.pdf	1	100	0.06836	0.0758	cairo
bitmap-tpgdon.pdf	1	100	0.06836	0.0758	cairo
bitmap-trailing-7fff-stripped-harder-refine.pdf	1	100	0.00000	0.0000	gs
bitmap-trailing-7fff-stripped-harder.pdf	1	100	0.06836	0.0758	cairo
bitmap-trailing-7fff-stripped.pdf	1	100	0.06836	0.0758	cairo
blendmode.pdf	1	100	0.04758	0.1573	cairo
bomb_giant.pdf	1	100	-1.00000	0.0000	none
